"ID" "XGAUGE" "YGAUGE" "XCENT" "YCENT" "AREA" "River" "Station" "ME_MAX" "igroup.best" "TRAIN"
"141" 6337541 3995416.94410351 2735876.10683609 4329012.06563 3140642.19984 317.21 "Leine" "RECKERSHAUSEN" 0.703277765436044 1 TRUE
"295" 25821259 3930582.68113775 2664606.54221532 4256676.17562 3058808.30497 317.3 "Ohm" "OBER-OFLEIDEN" 0.576009296114201 1 FALSE
"276" 25400054 3806716.88068623 2548116.10423714 4115900.67784 2948102.35674 320.1 "Nahe" "HEIMBACH BHF." 0.401254754027436 1 FALSE
"39" 422000 4032592.35967435 2643847.91039989 4363984.45451 3058224.05712 321 "Hasel" "ELLINGSHAUSEN" 0.648061491173804 1 FALSE
"138" 6335810 4109377.13347365 2580568.66805416 4439874.74736 2978863.40913 323.27 "Roter Main" "BAYREUTH" 0.682095386194235 1 FALSE
"265" 24741303 3934195.48547471 2568515.75423304 4248086.98474 2955133.15092 325 "Mümling" "HAINSTAD" 0.749922100701802 1 FALSE
"184" 13402807 4038417.25457122 2500193.65325212 4349333.75409 2910654.34541 328 "Altmühl" "THAN" 0.619824609952523 1 FALSE
"346" 27828900 3914222.7110628 2764427.11383113 4242524.00012 3169061.13501 330.5 "Altenau" "NORDBORCHEN" 0.341833328707864 1 FALSE
"15" 462 3912183.97343046 2414966.72201113 4234373.93586 2798114.13856 331 "Eyach" "BAD IMNAU" 0.464379776139986 1 FALSE
"144" 6338163 3826788.28927015 2877678.15052629 4197087.25334 3239251.93887 333.38 "Hase" "EVERSBURG" 0.662491751165689 1 FALSE
"328" 27365100 3808495.63933449 2723860.76509294 4136998.2542 3122626.74655 337.8 "Wupper" "KLUSERBRUECKE" 0.682280000515383 1 TRUE
"401" 311900000 3887100.35455089 2784963.12667671 4216031.65454 3191812.96411 342 "Ems" "Rheda" 0.469634975373652 1 FALSE
"355" 28229000 3760088.88745644 2652682.61339401 4072172.48008 3047253.40142 344.6 "Our" "GEMUEND" 0.754740753305236 1 FALSE
"122" 5845200 4282850.89069197 2792349.92451559 4625987.51696 3200981.06217 348 "Spree" "Fehrow" -1.82544272208542 1 FALSE
"236" 23720600 3864997.81994338 2478276.18504143 4162653.24794 2891362.65018 351 "Lauter" "SALMBACHER PASSAGE" 0.383419538619595 1 FALSE
"322" 27180108 3782297.85291679 2631349.79311721 4090714.06579 3031509.74048 351.4 "Ahr" "MUESCH" 0.633077561210575 1 FALSE
"22" 1409 3982550.94902787 2443602.60377426 4304142.68326 2834669.06727 360 "Fils" "SUESSEN" 0.81282766187431 1 FALSE
"108" 4845103 4014058.29080509 2834918.74354837 4339629.14196 3230881.83865 360 "Fuhse" "PEINE" 0.659287830395862 1 FALSE
