"date" "event_type" "event_count" "Qduration" "t2pd" "peak" "temp.cv" "Pmax.vol.ratio" "space_cv" "mean_RM_ant" "ant_sm" "space_cv_sm" "cov_SM_RM_ts_mean" "snow.cover.cov" "volumeP" "volumeR" "volumeM" "frozen.cover.cov"
"5304" 1994-04-08 10 20 10 5 3.59551662269129 0.926426634185159 0.287813766949572 0.315615125562437 0.0864942838609713 0.98151200651808 0.0181417101425952 0.00363773975792778 0.217493796168213 56.8961845318155 54.7469966863614 2.14918784545405 0
"5305" 1994-04-09 10 20 10 5 3.59551662269129 0.926426634185159 0.287813766949572 0.315615125562437 0.0864942838609713 0.98151200651808 0.0181417101425952 0.00363773975792778 0.217493796168213 56.8961845318155 54.7469966863614 2.14918784545405 0
"5306" 1994-04-10 10 20 10 5 3.59551662269129 0.926426634185159 0.287813766949572 0.315615125562437 0.0864942838609713 0.98151200651808 0.0181417101425952 0.00363773975792778 0.217493796168213 56.8961845318155 54.7469966863614 2.14918784545405 0
"5307" 1994-04-11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5308" 1994-04-12 3 73 19 7 4.03868707124011 0.662642230177382 0.216582515036803 0.436088698873778 0.154092762269958 0.998821659629137 0.00976385100546063 0.00299518767233105 1.0752358631634 50.5874598700057 47.3265089580123 3.26095091199349 0
"5309" 1994-04-13 3 73 19 7 4.03868707124011 0.662642230177382 0.216582515036803 0.436088698873778 0.154092762269958 0.998821659629137 0.00976385100546063 0.00299518767233105 1.0752358631634 50.5874598700057 47.3265089580123 3.26095091199349 0
"5310" 1994-04-14 3 73 19 7 4.03868707124011 0.662642230177382 0.216582515036803 0.436088698873778 0.154092762269958 0.998821659629137 0.00976385100546063 0.00299518767233105 1.0752358631634 50.5874598700057 47.3265089580123 3.26095091199349 0
"5311" 1994-04-15 3 73 19 7 4.03868707124011 0.662642230177382 0.216582515036803 0.436088698873778 0.154092762269958 0.998821659629137 0.00976385100546063 0.00299518767233105 1.0752358631634 50.5874598700057 47.3265089580123 3.26095091199349 0
"5312" 1994-04-16 3 73 19 7 4.03868707124011 0.662642230177382 0.216582515036803 0.436088698873778 0.154092762269958 0.998821659629137 0.00976385100546063 0.00299518767233105 1.0752358631634 50.5874598700057 47.3265089580123 3.26095091199349 0
"5313" 1994-04-17 3 73 19 7 4.03868707124011 0.662642230177382 0.216582515036803 0.436088698873778 0.154092762269958 0.998821659629137 0.00976385100546063 0.00299518767233105 1.0752358631634 50.5874598700057 47.3265089580123 3.26095091199349 0
